,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
363,290,남구,540,대연4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
365,290,남구,540,대연4동,감만배수지,배수지,7.29,0.17,0.39,-,-,정상
366,290,남구,540,대연4동,대연4동,블록,7.26,0.13,0.17,280.18,29.53,정상
367,290,남구,530,대연3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
369,290,남구,530,대연3동,대연3동,블록,6.98,0.20,0.27,313.50,-,정상
370,290,남구,520,대연2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
372,290,남구,510,대연1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
375,260,동래구,762,명장2동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
376,260,동래구,762,명장2동,서동배수지,배수지,6.98,0.07,0.33,-,-,정상
378,260,동래구,761,명장1동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
380,260,동래구,750,안락2동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
382,260,동래구,740,안락1동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
383,260,동래구,600,사직3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
385,260,동래구,600,사직3동,사직3동,블록,7.00,0.19,0.48,-,-,정상
386,260,동래구,590,사직2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
388,260,동래구,580,사직1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
390,260,동래구,570,온천3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
392,260,동래구,560,온천2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
394,260,동래구,550,온천1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
396,260,동래구,550,온천1동,온천1동,블록,7.25,0.13,0.41,-,-,정상
398,260,동래구,545,명륜동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
399,260,동래구,545,명륜동,서동배수지,배수지,6.98,0.07,0.33,-,-,정상
401,260,동래구,520,복산동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
